[Name]
Series 1 at /LINE:mid

[Data]
X [ m ],Velocity u [ m s^-1 ]
0.00000000e+00, 1.00000000e+00
2.53164560e-01, 9.99646366e-01
5.06329119e-01, 9.98768449e-01
7.59493709e-01, 9.97247815e-01
1.01265824e+00, 9.95065689e-01
1.26582277e+00, 9.92110372e-01
1.51898730e+00, 9.88293171e-01
1.77215183e+00, 9.83427823e-01
2.02531648e+00, 9.77301359e-01
2.27848101e+00, 9.69580531e-01
2.53164554e+00, 9.59797978e-01
2.78481007e+00, 9.47344005e-01
3.03797460e+00, 9.31176901e-01
3.29113913e+00, 9.09731269e-01
3.54430366e+00, 8.80499721e-01
3.79746819e+00, 8.39305222e-01
4.05063295e+00, 7.77953506e-01
4.30379772e+00, 6.81862056e-01
4.55696249e+00, 5.20549476e-01
4.81012726e+00, 2.61752278e-01
undef, undef
6.07595110e+00, -1.68645836e-03
6.32911587e+00, -9.71699655e-02
6.58228064e+00, -1.55162036e-01
6.83544540e+00, -1.70310929e-01
7.08861017e+00, -1.51514009e-01
7.34177494e+00, -1.03369959e-01
7.59493971e+00, -2.95433886e-02
7.84810448e+00, 6.67221472e-02
8.10126877e+00, 1.78881869e-01
8.35443306e+00, 2.98509508e-01
8.60759735e+00, 4.16702062e-01
8.86076164e+00, 5.26150286e-01
9.11392593e+00, 6.21980906e-01
9.36709023e+00, 7.02834129e-01
9.62025452e+00, 7.68344760e-01
9.87341881e+00, 8.21013033e-01
1.01265831e+01, 8.61946464e-01
1.03797474e+01, 8.93820167e-01
1.06329117e+01, 9.17688489e-01
1.08860760e+01, 9.35400605e-01
1.11392403e+01, 9.48114634e-01
1.13924046e+01, 9.57436621e-01
1.16455688e+01, 9.64459658e-01
1.18987331e+01, 9.69988465e-01
1.21518974e+01, 9.74431038e-01
1.24050617e+01, 9.78044033e-01
1.26582260e+01, 9.81005788e-01
1.29113903e+01, 9.83495593e-01
1.31645546e+01, 9.85589027e-01
1.34177189e+01, 9.87380028e-01
1.36708832e+01, 9.88918483e-01
1.39240475e+01, 9.90248501e-01
1.41772118e+01, 9.91403341e-01
1.44303761e+01, 9.92408693e-01
1.46835403e+01, 9.93288159e-01
1.49367046e+01, 9.94056702e-01
1.51898689e+01, 9.94732738e-01
1.54430332e+01, 9.95325089e-01
1.56961975e+01, 9.95848536e-01
1.59493618e+01, 9.96307731e-01
1.62025261e+01, 9.96714652e-01
1.64556904e+01, 9.97072101e-01
1.67088547e+01, 9.97389078e-01
1.69620190e+01, 9.97667909e-01
1.72151833e+01, 9.97914493e-01
1.74683475e+01, 9.98131514e-01
1.77215118e+01, 9.98323441e-01
1.79746761e+01, 9.98492360e-01
1.82278404e+01, 9.98640954e-01
1.84810047e+01, 9.98771429e-01
1.87341690e+01, 9.98884857e-01
1.89873333e+01, 9.98983860e-01
1.92404976e+01, 9.99068916e-01
1.94936619e+01, 9.99141872e-01
1.97468262e+01, 9.99203205e-01
1.99999905e+01, 9.99255419e-01


