iteration	obj1	const1	limit1	
0	9.03298e+07	0.0245137	0.016956	
1	1.51046e+08	0.0186027	0.016956	
2	1.37266e+08	0.017318	0.016956	
3	1.22023e+08	0.0169655	0.016956	
4	1.07137e+08	0.0169391	0.016956	
5	9.40365e+07	0.016939	0.016956	
6	8.47853e+07	0.016939	0.016956	
7	7.6933e+07	0.016939	0.016956	
8	7.03054e+07	0.016939	0.016956	
9	6.45156e+07	0.016939	0.016956	
10	6.01899e+07	0.016939	0.016956	
11	5.69791e+07	0.016939	0.016956	
12	5.45699e+07	0.016939	0.016956	
13	5.26495e+07	0.016939	0.016956	
14	5.10928e+07	0.016939	0.016956	
15	4.99009e+07	0.016939	0.016956	
16	4.89658e+07	0.016939	0.016956	
17	4.82569e+07	0.016939	0.016956	
18	4.76474e+07	0.016939	0.016956	
19	4.71332e+07	0.016939	0.016956	
20	4.68215e+07	0.016939	0.016956	
21	4.66549e+07	0.016939	0.016956	
22	4.65025e+07	0.016939	0.016956	
23	4.63487e+07	0.016939	0.016956	
24	4.61569e+07	0.016939	0.016956	
25	4.59709e+07	0.016939	0.016956	
26	4.58031e+07	0.016939	0.016956	
27	4.56036e+07	0.016939	0.016956	
28	4.53916e+07	0.016939	0.016956	
29	4.5269e+07	0.016939	0.016956	
30	4.5144e+07	0.016939	0.016956	
31	4.50443e+07	0.016939	0.016956	
32	4.5025e+07	0.016939	0.016956	
33	4.50161e+07	0.016939	0.016956	
34	4.50118e+07	0.016939	0.016956	
